TimeStep,Macro_t0,Gap_t0,Macro_t50,Gap_t50,Macro_t100,Gap_t100
107,0.7600583425269244,0.005678415738759934,0.7433866775189425,0.031960858036473305,0.754819088005478,0.019443807905358046
108,0.7604569165355927,0.005645841372634797,0.743695311331221,0.03185334635434245,0.754965514589541,0.01984652746922344
109,0.7606197737102205,0.00647587871973343,0.7436950356155932,0.030430758289535564,0.7555140983408956,0.018973378179398037
110,0.7604527620656711,0.006843321944559166,0.744449292009509,0.029883331171367766,0.7559250138651964,0.018819464982364087
111,0.7608237486234863,0.00712896904409277,0.7447915651892312,0.029517809888578106,0.7560510160813907,0.017136772207654416
112,0.7615066282383505,0.007254220553376767,0.7448587947644362,0.02961817453370308,0.7560407258789683,0.01774586487725094
113,0.761959986274257,0.006090493587624146,0.7452361660591023,0.030009294214885962,0.7563908048096776,0.016141682847830907
114,0.7620494614670718,0.006205531699311151,0.7460302014080537,0.02851374740059298,0.7571071241887151,0.018194301854835726
115,0.7625918207283146,0.005938406118454309,0.7467914257880769,0.028529289243443112,0.7568760911023007,0.01805469377133595
116,0.7631631667899458,0.007484157623666832,0.7474579613812159,0.02914498333139559,0.757401511295195,0.019327126263193883
117,0.7634962649707387,0.008793734089558303,0.7474858445091904,0.03029212559518335,0.7574236809335818,0.019731565407947516
118,0.7639410916428594,0.009282254013601832,0.7475701396715796,0.028913766216349668,0.7576785873698773,0.01993800560191883
119,0.7650090825162648,0.009026869097637835,0.7479903776353993,0.029558049142514475,0.7579088825838398,0.01947483908727654
120,0.7654175209671471,0.007205739691007684,0.7481184672859386,0.030466884613814527,0.7589168402481382,0.017406229052738476
121,0.7655268872671434,0.007330879712429184,0.7481025065379608,0.029009811867090174,0.7591385940082357,0.01631675363639229
122,0.7658750326250015,0.0069003927711591695,0.7484825257149011,0.029566583236736554,0.7602301362509112,0.017559672217460798
123,0.7662588555537418,0.008267504403653314,0.7489202818137051,0.03037859278038546,0.760072289939187,0.017642245217611152
124,0.7666834804962268,0.008398722159836502,0.7490440193085394,0.029709688123111033,0.7601794689294997,0.01648216368593125
125,0.7670145319802328,0.008409552191671499,0.7490381677872026,0.02976743320480979,0.760604503034235,0.016937241988509988
126,0.7669319108740852,0.008325173223758364,0.7488791678633072,0.030613275771103066,0.7606701463126304,0.016737348605594837
127,0.7667614542619859,0.006252149365325477,0.7487185497044926,0.030025083178699452,0.7604063410774888,0.017397267771323666
128,0.7674223652973194,0.007115399075006024,0.7488002927967499,0.029761989593265592,0.7603545959409775,0.015965257499750307
129,0.7679835702683346,0.008442992033031893,0.748892076972116,0.028416840844476265,0.760558452286414,0.014200579740914598
130,0.7682355997162577,0.008178686768595678,0.7490663300681445,0.02803370522314308,0.7605899159057546,0.015756222522794294
131,0.7688410456232856,0.010592028971359135,0.7492130393568751,0.02820972960674506,0.7607452331955722,0.016309656429623898
132,0.7691061678631101,0.010718353874236586,0.7489511953305446,0.02792155341422542,0.7609228428208632,0.015587491763369044
133,0.7696595015220339,0.0111734291501141,0.7487445585454354,0.027403232722329585,0.761165235720056,0.01626044760312717
134,0.7697246145609257,0.011527274875082094,0.7490797862539623,0.02766875804629987,0.7617223516955625,0.016713872552214015
135,0.7697342926833962,0.01157564473979611,0.7495419352408451,0.027444427770053736,0.7617351951431144,0.01612077572457571
136,0.7703231334138232,0.010253964303260532,0.750042917523788,0.0278372510135263,0.7618083631421245,0.01603457868987368
137,0.770775765149992,0.01098418360780229,0.7505059362248989,0.027270428639312616,0.7617803011450421,0.016065266353758934
138,0.7711636783849661,0.011977646402685171,0.7503915022210407,0.0279285410876583,0.7620042551156047,0.01676493186249317
139,0.7709025454835514,0.01220294890423701,0.7502149691200434,0.028178266334177082,0.761953832300046,0.01593391061845084
